Type, Module, SOC(%), VDC[V], Avg-dV[V], Avg-dI[A], Temp[deg], R_1Hz, X_1Hz, R_2Hz, X_2Hz, R_4Hz, X_4Hz, R_8Hz, X_8Hz, R_16Hz, X_16Hz, R_31Hz, X_31Hz, R_62Hz, X_62Hz, R_125Hz, X_125Hz, R_250Hz, X_250Hz, R_500Hz, X_500Hz, R_1kHz, X_1kHz
0, 0,  98.0,  23.87,  0.063, 1.841, 24.07, 0.035594, 0.001378, 0.035106, 0.000353, 0.034885, 0.000135, 0.034800, -0.000144, 0.034655, -0.000306, 0.034420, -0.000391, 0.034164, -0.000367, 0.033938, -0.000244, 0.033751, 0.000045, 0.033696, 0.000555, 0.034009, 0.001463, 
0, 0,  98.0,  23.97,  0.063, 1.840, 24.09, 0.035728, 0.000608, 0.034825, 0.000477, 0.034880, 0.000121, 0.034803, -0.000150, 0.034650, -0.000308, 0.034427, -0.000399, 0.034175, -0.000376, 0.033914, -0.000241, 0.033750, 0.000037, 0.033689, 0.000557, 0.034032, 0.001372, 
0, 0,  98.0,  23.97,  0.063, 1.842, 24.24, 0.035555, 0.001342, 0.034900, 0.000297, 0.034926, 0.000053, 0.034804, -0.000148, 0.034653, -0.000308, 0.034426, -0.000400, 0.034172, -0.000392, 0.033940, -0.000241, 0.033733, 0.000049, 0.033671, 0.000550, 0.033992, 0.001425, 
0, 0,  98.0,  23.89,  0.063, 1.841, 24.36, 0.035556, 0.001343, 0.034902, 0.000297, 0.034930, 0.000053, 0.034807, -0.000148, 0.034657, -0.000308, 0.034426, -0.000402, 0.034175, -0.000384, 0.033936, -0.000242, 0.033728, 0.000039, 0.033695, 0.000531, 0.034023, 0.001403, 
0, 0,  98.0,  23.97,  0.063, 1.841, 24.47, 0.035558, 0.001336, 0.034902, 0.000298, 0.034929, 0.000053, 0.034808, -0.000148, 0.034657, -0.000308, 0.034428, -0.000402, 0.034175, -0.000394, 0.033945, -0.000256, 0.033755, 0.000034, 0.033698, 0.000533, 0.033998, 0.001352, 
0, 0,  98.0,  23.87,  0.063, 1.843, 24.38, 0.035597, 0.001340, 0.034939, 0.000299, 0.034965, 0.000054, 0.034842, -0.000147, 0.034637, -0.000305, 0.034383, -0.000401, 0.034126, -0.000393, 0.033895, -0.000252, 0.033688, 0.000045, 0.033614, 0.000549, 0.033959, 0.001422, 
0, 0,  98.0,  23.97,  0.063, 1.842, 24.28, 0.035496, 0.001338, 0.034842, 0.000296, 0.034867, 0.000054, 0.034744, -0.000149, 0.034594, -0.000309, 0.034365, -0.000405, 0.034118, -0.000387, 0.033874, -0.000244, 0.033667, 0.000035, 0.033613, 0.000525, 0.033944, 0.001392, 
0, 0,  98.0,  23.89,  0.063, 1.842, 24.12, 0.035492, 0.001329, 0.034836, 0.000298, 0.034864, 0.000052, 0.034742, -0.000147, 0.034591, -0.000307, 0.034362, -0.000401, 0.034103, -0.000393, 0.033867, -0.000268, 0.033674, 0.000014, 0.033599, 0.000533, 0.033909, 0.001380, 
0, 0,  98.0,  23.89,  0.063, 1.841, 24.01, 0.035487, 0.001338, 0.034837, 0.000296, 0.034863, 0.000055, 0.034744, -0.000149, 0.034587, -0.000306, 0.034361, -0.000404, 0.034110, -0.000384, 0.033865, -0.000242, 0.033662, 0.000007, 0.033604, 0.000523, 0.033934, 0.001344, 
0, 0,  98.0,  23.97,  0.063, 1.843, 23.86, 0.035487, 0.001332, 0.034832, 0.000298, 0.034859, 0.000053, 0.034737, -0.000148, 0.034586, -0.000308, 0.034361, -0.000404, 0.034105, -0.000391, 0.033873, -0.000252, 0.033661, 0.000032, 0.033597, 0.000509, 0.033905, 0.001370, 
0, 0,  98.0,  23.96,  0.063, 1.842, 23.80, 0.035485, 0.001337, 0.034832, 0.000297, 0.034859, 0.000054, 0.034738, -0.000149, 0.034587, -0.000307, 0.034356, -0.000403, 0.034105, -0.000391, 0.033869, -0.000248, 0.033653, 0.000024, 0.033617, 0.000495, 0.033924, 0.001366, 
0, 0,  98.0,  23.96,  0.063, 1.842, 23.75, 0.035486, 0.001330, 0.034830, 0.000299, 0.034857, 0.000054, 0.034735, -0.000148, 0.034584, -0.000307, 0.034359, -0.000404, 0.034104, -0.000388, 0.033870, -0.000257, 0.033681, 0.000029, 0.033610, 0.000505, 0.033915, 0.001298, 
0, 0,  98.0,  23.89,  0.063, 1.844, 23.66, 0.035484, 0.001333, 0.034829, 0.000298, 0.034855, 0.000053, 0.034735, -0.000147, 0.034582, -0.000306, 0.034358, -0.000403, 0.034104, -0.000389, 0.033870, -0.000253, 0.033663, 0.000018, 0.033586, 0.000496, 0.033887, 0.001311, 
0, 0,  98.0,  23.96,  0.063, 1.842, 23.63, 0.035484, 0.001336, 0.034831, 0.000297, 0.034857, 0.000055, 0.034737, -0.000147, 0.034587, -0.000306, 0.034360, -0.000403, 0.034107, -0.000393, 0.033872, -0.000255, 0.033655, 0.000012, 0.033619, 0.000470, 0.033935, 0.001341, 
0, 0,  98.0,  23.96,  0.063, 1.842, 23.62, 0.035486, 0.001329, 0.034830, 0.000299, 0.034858, 0.000054, 0.034739, -0.000145, 0.034589, -0.000308, 0.034360, -0.000400, 0.034107, -0.000395, 0.033873, -0.000262, 0.033689, 0.000019, 0.033626, 0.000515, 0.033900, 0.001324, 
0, 0,  98.0,  23.96,  0.063, 1.843, 23.57, 0.035486, 0.001331, 0.034830, 0.000298, 0.034857, 0.000055, 0.034736, -0.000145, 0.034585, -0.000307, 0.034356, -0.000401, 0.034112, -0.000395, 0.033877, -0.000256, 0.033683, 0.000023, 0.033598, 0.000494, 0.033920, 0.001352, 
0, 0,  98.0,  23.95,  0.063, 1.843, 23.53, 0.035484, 0.001334, 0.034831, 0.000298, 0.034857, 0.000054, 0.034737, -0.000145, 0.034587, -0.000307, 0.034362, -0.000402, 0.034113, -0.000392, 0.033877, -0.000252, 0.033665, 0.000017, 0.033605, 0.000486, 0.033920, 0.001284, 
0, 0,  98.0,  23.87,  0.063, 1.842, 23.48, 0.035487, 0.001327, 0.034830, 0.000300, 0.034859, 0.000054, 0.034739, -0.000145, 0.034588, -0.000307, 0.034358, -0.000400, 0.034105, -0.000396, 0.033872, -0.000269, 0.033691, 0.000010, 0.033629, 0.000497, 0.033899, 0.001335, 
0, 0,  98.0,  23.96,  0.063, 1.843, 23.46, 0.035486, 0.001330, 0.034831, 0.000299, 0.034858, 0.000055, 0.034738, -0.000146, 0.034588, -0.000305, 0.034363, -0.000402, 0.034104, -0.000397, 0.033879, -0.000266, 0.033683, 0.000016, 0.033615, 0.000515, 0.033920, 0.001341, 
0, 0,  98.0,  23.96,  0.063, 1.844, 23.48, 0.035486, 0.001333, 0.034831, 0.000299, 0.034858, 0.000055, 0.034738, -0.000144, 0.034587, -0.000304, 0.034363, -0.000402, 0.034111, -0.000389, 0.033877, -0.000257, 0.033668, 0.000014, 0.033599, 0.000474, 0.033896, 0.001268, 
0, 0,  98.0,  23.85,  0.063, 1.843, 23.46, 0.035485, 0.001335, 0.034832, 0.000299, 0.034860, 0.000057, 0.034740, -0.000144, 0.034592, -0.000306, 0.034365, -0.000401, 0.034117, -0.000393, 0.033881, -0.000246, 0.033662, 0.000006, 0.033628, 0.000490, 0.033922, 0.001313, 
0, 0,  98.0,  23.95,  0.063, 1.843, 23.58, 0.035488, 0.001329, 0.034831, 0.000300, 0.034861, 0.000055, 0.034743, -0.000144, 0.034594, -0.000306, 0.034365, -0.000401, 0.034111, -0.000390, 0.033880, -0.000262, 0.033689, 0.000007, 0.033624, 0.000507, 0.033918, 0.001267, 
0, 0,  98.0,  23.86,  0.063, 1.843, 23.62, 0.035488, 0.001332, 0.034832, 0.000300, 0.034861, 0.000057, 0.034741, -0.000143, 0.034592, -0.000304, 0.034366, -0.000399, 0.034116, -0.000395, 0.033882, -0.000256, 0.033683, 0.000020, 0.033607, 0.000498, 0.033910, 0.001319, 
0, 0,  98.0,  23.93,  0.063, 1.844, 23.59, 0.035488, 0.001335, 0.034834, 0.000300, 0.034862, 0.000056, 0.034743, -0.000143, 0.034594, -0.000304, 0.034370, -0.000402, 0.034117, -0.000388, 0.033881, -0.000255, 0.033666, 0.000012, 0.033616, 0.000478, 0.033923, 0.001257, 
0, 0,  98.0,  23.96,  0.063, 1.842, 23.57, 0.035490, 0.001328, 0.034834, 0.000301, 0.034863, 0.000056, 0.034744, -0.000143, 0.034595, -0.000305, 0.034364, -0.000398, 0.034114, -0.000396, 0.033880, -0.000263, 0.033699, 0.000007, 0.033641, 0.000499, 0.033906, 0.001304, 
0, 0,  98.0,  23.86,  0.063, 1.843, 23.54, 0.035490, 0.001330, 0.034834, 0.000300, 0.034863, 0.000057, 0.034743, -0.000143, 0.034596, -0.000303, 0.034371, -0.000402, 0.034116, -0.000389, 0.033884, -0.000260, 0.033689, 0.000017, 0.033611, 0.000480, 0.033924, 0.001281, 
0, 0,  98.0,  23.96,  0.063, 1.845, 23.53, 0.035489, 0.001333, 0.034833, 0.000300, 0.034861, 0.000057, 0.034741, -0.000142, 0.034592, -0.000303, 0.034367, -0.000398, 0.034123, -0.000395, 0.033887, -0.000256, 0.033678, 0.000018, 0.033619, 0.000476, 0.033917, 0.001275, 
0, 0,  98.0,  23.86,  0.063, 1.843, 23.50, 0.035491, 0.001327, 0.034833, 0.000302, 0.034863, 0.000057, 0.034745, -0.000143, 0.034596, -0.000302, 0.034369, -0.000400, 0.034114, -0.000388, 0.033882, -0.000268, 0.033698, -0.000009, 0.033633, 0.000461, 0.033911, 0.001273, 
0, 0,  98.0,  23.96,  0.063, 1.843, 23.51, 0.035490, 0.001329, 0.034833, 0.000301, 0.034863, 0.000057, 0.034744, -0.000143, 0.034597, -0.000303, 0.034369, -0.000400, 0.034121, -0.000391, 0.033882, -0.000265, 0.033697, -0.000004, 0.033621, 0.000477, 0.033935, 0.001294, 
0, 0,  98.0,  23.90,  0.063, 1.844, 23.47, 0.035489, 0.001332, 0.034834, 0.000300, 0.034862, 0.000057, 0.034742, -0.000141, 0.034595, -0.000303, 0.034367, -0.000399, 0.034122, -0.000397, 0.033891, -0.000263, 0.033700, 0.000004, 0.033633, 0.000481, 0.033896, 0.001300, 
0, 0,  98.0,  23.96,  0.063, 1.844, 23.43, 0.035488, 0.001334, 0.034834, 0.000300, 0.034861, 0.000056, 0.034742, -0.000144, 0.034595, -0.000303, 0.034372, -0.000401, 0.034122, -0.000396, 0.033889, -0.000260, 0.033689, 0.000017, 0.033620, 0.000501, 0.033925, 0.001313, 
0, 0,  98.0,  23.96,  0.063, 1.843, 23.44, 0.035487, 0.001336, 0.034835, 0.000299, 0.034863, 0.000057, 0.034744, -0.000143, 0.034597, -0.000303, 0.034369, -0.000401, 0.034126, -0.000390, 0.033888, -0.000253, 0.033681, 0.000008, 0.033613, 0.000448, 0.033901, 0.001283, 
0, 0,  98.0,  23.96,  0.063, 1.843, 23.41, 0.035486, 0.001338, 0.034836, 0.000299, 0.034864, 0.000058, 0.034746, -0.000144, 0.034598, -0.000303, 0.034377, -0.000399, 0.034124, -0.000391, 0.033886, -0.000251, 0.033668, 0.000004, 0.033632, 0.000481, 0.033922, 0.001311, 
0, 0,  98.0,  23.94,  0.063, 1.845, 23.40, 0.035488, 0.001332, 0.034833, 0.000300, 0.034862, 0.000058, 0.034743, -0.000141, 0.034595, -0.000302, 0.034371, -0.000401, 0.034121, -0.000390, 0.033889, -0.000262, 0.033695, -0.000000, 0.033626, 0.000470, 0.033924, 0.001219, 
0, 0,  98.0,  23.88,  0.063, 1.844, 23.37, 0.035488, 0.001335, 0.034834, 0.000300, 0.034863, 0.000059, 0.034744, -0.000141, 0.034598, -0.000302, 0.034377, -0.000397, 0.034125, -0.000392, 0.033891, -0.000261, 0.033683, 0.000019, 0.033609, 0.000491, 0.033899, 0.001286, 
0, 0,  98.0,  23.89,  0.063, 1.844, 23.38, 0.035487, 0.001337, 0.034836, 0.000300, 0.034864, 0.000059, 0.034747, -0.000141, 0.034600, -0.000301, 0.034375, -0.000397, 0.034132, -0.000393, 0.033892, -0.000249, 0.033676, 0.000005, 0.033633, 0.000463, 0.033932, 0.001254, 
0, 0,  98.0,  23.97,  0.063, 1.844, 23.36, 0.035489, 0.001330, 0.034833, 0.000301, 0.034862, 0.000058, 0.034744, -0.000141, 0.034598, -0.000301, 0.034373, -0.000400, 0.034122, -0.000390, 0.033890, -0.000268, 0.033700, -0.000008, 0.033633, 0.000477, 0.033899, 0.001219, 
0, 0,  98.0,  23.96,  0.063, 1.845, 23.35, 0.035488, 0.001333, 0.034833, 0.000301, 0.034862, 0.000059, 0.034742, -0.000140, 0.034597, -0.000301, 0.034376, -0.000398, 0.034126, -0.000396, 0.033890, -0.000262, 0.033697, 0.000012, 0.033615, 0.000477, 0.033920, 0.001291, 
0, 0,  98.0,  23.95,  0.063, 1.844, 23.34, 0.035486, 0.001336, 0.034834, 0.000300, 0.034863, 0.000059, 0.034745, -0.000139, 0.034599, -0.000302, 0.034373, -0.000397, 0.034128, -0.000396, 0.033891, -0.000258, 0.033682, 0.000008, 0.033622, 0.000454, 0.033920, 0.001233, 
0, 0,  98.0,  23.86,  0.063, 1.844, 23.30, 0.035487, 0.001329, 0.034832, 0.000302, 0.034861, 0.000059, 0.034743, -0.000140, 0.034597, -0.000302, 0.034374, -0.000399, 0.034118, -0.000397, 0.033892, -0.000273, 0.033704, -0.000000, 0.033639, 0.000467, 0.033896, 0.001245, 
0, 0,  98.0,  23.90,  0.063, 1.845, 23.31, 0.035486, 0.001332, 0.034832, 0.000302, 0.034859, 0.000059, 0.034742, -0.000139, 0.034595, -0.000300, 0.034371, -0.000396, 0.034124, -0.000398, 0.033894, -0.000266, 0.033700, 0.000004, 0.033624, 0.000477, 0.033935, 0.001223, 
0, 0,  98.0,  23.96,  0.063, 1.844, 23.29, 0.035485, 0.001335, 0.034831, 0.000300, 0.034860, 0.000060, 0.034743, -0.000139, 0.034597, -0.000302, 0.034375, -0.000400, 0.034125, -0.000396, 0.033893, -0.000257, 0.033687, -0.000009, 0.033616, 0.000427, 0.033888, 0.001233, 
0, 0,  98.0,  23.85,  0.063, 1.844, 23.27, 0.035483, 0.001338, 0.034833, 0.000301, 0.034862, 0.000061, 0.034745, -0.000140, 0.034599, -0.000301, 0.034375, -0.000401, 0.034131, -0.000388, 0.033888, -0.000257, 0.033678, 0.000002, 0.033639, 0.000450, 0.033909, 0.001278, 
0, 0,  98.0,  23.96,  0.063, 1.844, 23.22, 0.035485, 0.001331, 0.034829, 0.000302, 0.034859, 0.000060, 0.034742, -0.000139, 0.034597, -0.000299, 0.034373, -0.000399, 0.034123, -0.000391, 0.033888, -0.000268, 0.033699, -0.000003, 0.033631, 0.000444, 0.033898, 0.001190, 
0, 0,  98.0,  23.87,  0.063, 1.845, 23.22, 0.035483, 0.001334, 0.034829, 0.000302, 0.034858, 0.000060, 0.034742, -0.000138, 0.034596, -0.000298, 0.034377, -0.000398, 0.034125, -0.000393, 0.033890, -0.000265, 0.033686, -0.000014, 0.033603, 0.000433, 0.033880, 0.001222, 
0, 0,  98.0,  23.91,  0.063, 1.844, 23.21, 0.035482, 0.001336, 0.034830, 0.000301, 0.034858, 0.000060, 0.034743, -0.000139, 0.034598, -0.000301, 0.034372, -0.000400, 0.034128, -0.000391, 0.033889, -0.000258, 0.033682, -0.000009, 0.033621, 0.000417, 0.033917, 0.001252, 
0, 0,  98.0,  23.93,  0.063, 1.844, 23.15, 0.035483, 0.001329, 0.034828, 0.000303, 0.034858, 0.000060, 0.034741, -0.000139, 0.034596, -0.000300, 0.034374, -0.000398, 0.034117, -0.000399, 0.033892, -0.000278, 0.033702, -0.000010, 0.033639, 0.000458, 0.033874, 0.001232, 
0, 0,  98.0,  23.85,  0.063, 1.845, 23.14, 0.035481, 0.001332, 0.034827, 0.000302, 0.034856, 0.000059, 0.034739, -0.000139, 0.034594, -0.000299, 0.034371, -0.000399, 0.034120, -0.000393, 0.033891, -0.000268, 0.033696, -0.000015, 0.033609, 0.000438, 0.033898, 0.001210, 
0, 0,  98.0,  23.95,  0.063, 1.845, 23.11, 0.035480, 0.001335, 0.034827, 0.000301, 0.034856, 0.000060, 0.034739, -0.000139, 0.034595, -0.000300, 0.034375, -0.000398, 0.034125, -0.000397, 0.033887, -0.000260, 0.033680, -0.000003, 0.033612, 0.000438, 0.033898, 0.001205, 
0, 0,  98.0,  23.85,  0.063, 1.844, 23.09, 0.035482, 0.001329, 0.034826, 0.000303, 0.034857, 0.000060, 0.034741, -0.000137, 0.034597, -0.000300, 0.034371, -0.000396, 0.034119, -0.000398, 0.033880, -0.000283, 0.033690, -0.000031, 0.033605, 0.000444, 0.033890, 0.001218, 
0, 0,  98.0,  23.94,  0.063, 1.843, 23.07, 0.035478, 0.001338, 0.034828, 0.000302, 0.034858, 0.000063, 0.034742, -0.000137, 0.034595, -0.000297, 0.034376, -0.000396, 0.034132, -0.000392, 0.033882, -0.000250, 0.033680, -0.000027, 0.033623, 0.000462, 0.033917, 0.001213, 
0, 0,  98.0,  23.95,  0.063, 1.845, 23.05, 0.035479, 0.001332, 0.034825, 0.000302, 0.034854, 0.000061, 0.034737, -0.000137, 0.034593, -0.000298, 0.034373, -0.000396, 0.034127, -0.000397, 0.033887, -0.000264, 0.033688, -0.000002, 0.033606, 0.000443, 0.033875, 0.001209, 
0, 0,  98.0,  23.85,  0.063, 1.844, 23.03, 0.035477, 0.001336, 0.034826, 0.000303, 0.034855, 0.000062, 0.034739, -0.000136, 0.034596, -0.000298, 0.034371, -0.000396, 0.034130, -0.000395, 0.033891, -0.000260, 0.033678, -0.000011, 0.033629, 0.000428, 0.033909, 0.001218, 
0, 0,  98.0,  23.95,  0.063, 1.844, 22.99, 0.035479, 0.001329, 0.034823, 0.000303, 0.034855, 0.000062, 0.034739, -0.000135, 0.034596, -0.000298, 0.034374, -0.000397, 0.034124, -0.000397, 0.033896, -0.000272, 0.033705, -0.000019, 0.033626, 0.000432, 0.033889, 0.001174, 
0, 0,  98.0,  23.84,  0.063, 1.846, 22.98, 0.035477, 0.001334, 0.034823, 0.000302, 0.034851, 0.000062, 0.034734, -0.000136, 0.034590, -0.000296, 0.034369, -0.000395, 0.034124, -0.000396, 0.033894, -0.000262, 0.033687, -0.000006, 0.033611, 0.000437, 0.033887, 0.001206, 
0, 0,  98.0,  23.95,  0.063, 1.845, 22.96, 0.035476, 0.001335, 0.034823, 0.000303, 0.034852, 0.000063, 0.034736, -0.000137, 0.034593, -0.000297, 0.034374, -0.000398, 0.034127, -0.000387, 0.033889, -0.000263, 0.033679, -0.000011, 0.033615, 0.000433, 0.033908, 0.001146, 
0, 0,  98.0,  23.89,  0.063, 1.844, 22.93, 0.035477, 0.001328, 0.034822, 0.000304, 0.034852, 0.000061, 0.034738, -0.000136, 0.034593, -0.000296, 0.034370, -0.000397, 0.034117, -0.000394, 0.033889, -0.000271, 0.033704, -0.000025, 0.033639, 0.000417, 0.033873, 0.001196, 
0, 0,  98.0,  23.85,  0.063, 1.845, 22.91, 0.035476, 0.001331, 0.034822, 0.000304, 0.034851, 0.000062, 0.034736, -0.000136, 0.034591, -0.000295, 0.034372, -0.000399, 0.034123, -0.000394, 0.033895, -0.000268, 0.033696, -0.000018, 0.033615, 0.000441, 0.033906, 0.001169, 
0, 0,  98.0,  23.95,  0.063, 1.846, 22.91, 0.035474, 0.001335, 0.034821, 0.000303, 0.034850, 0.000062, 0.034735, -0.000136, 0.034591, -0.000295, 0.034374, -0.000398, 0.034123, -0.000389, 0.033892, -0.000267, 0.033682, -0.000021, 0.033603, 0.000433, 0.033880, 0.001136, 
0, 0,  98.0,  23.85,  0.063, 1.844, 22.88, 0.035474, 0.001336, 0.034822, 0.000302, 0.034851, 0.000063, 0.034736, -0.000135, 0.034593, -0.000298, 0.034372, -0.000396, 0.034131, -0.000394, 0.033895, -0.000256, 0.033679, -0.000018, 0.033640, 0.000429, 0.033893, 0.001186, 
0, 0,  98.0,  23.93,  0.063, 1.844, 22.87, 0.035475, 0.001330, 0.034820, 0.000304, 0.034851, 0.000062, 0.034736, -0.000135, 0.034593, -0.000296, 0.034374, -0.000397, 0.034118, -0.000399, 0.033896, -0.000280, 0.033703, -0.000016, 0.033623, 0.000451, 0.033909, 0.001188, 
0, 0,  98.0,  23.88,  0.063, 1.845, 22.86, 0.035474, 0.001333, 0.034820, 0.000303, 0.034849, 0.000063, 0.034734, -0.000135, 0.034590, -0.000296, 0.034369, -0.000397, 0.034125, -0.000395, 0.033893, -0.000262, 0.033689, -0.000016, 0.033613, 0.000430, 0.033873, 0.001215, 
0, 0,  98.0,  23.95,  0.063, 1.845, 22.82, 0.035472, 0.001336, 0.034819, 0.000303, 0.034849, 0.000063, 0.034735, -0.000136, 0.034593, -0.000297, 0.034373, -0.000396, 0.034128, -0.000393, 0.033893, -0.000259, 0.033676, -0.000012, 0.033630, 0.000424, 0.033909, 0.001184, 
0, 0,  98.0,  23.95,  0.063, 1.844, 22.80, 0.035474, 0.001329, 0.034820, 0.000304, 0.034850, 0.000062, 0.034735, -0.000135, 0.034593, -0.000296, 0.034370, -0.000394, 0.034121, -0.000398, 0.033892, -0.000276, 0.033705, -0.000012, 0.033640, 0.000445, 0.033886, 0.001177, 
0, 0,  98.0,  23.86,  0.063, 1.845, 22.80, 0.035472, 0.001331, 0.034818, 0.000304, 0.034849, 0.000063, 0.034733, -0.000135, 0.034591, -0.000295, 0.034371, -0.000397, 0.034123, -0.000396, 0.033895, -0.000274, 0.033694, -0.000013, 0.033621, 0.000444, 0.033898, 0.001216, 
0, 0,  98.0,  23.93,  0.063, 1.846, 22.81, 0.035471, 0.001335, 0.034818, 0.000303, 0.034847, 0.000063, 0.034732, -0.000134, 0.034591, -0.000294, 0.034372, -0.000396, 0.034130, -0.000389, 0.033891, -0.000260, 0.033686, -0.000010, 0.033619, 0.000417, 0.033909, 0.001186, 
0, 0,  98.0,  23.88,  0.063, 1.844, 22.76, 0.035472, 0.001328, 0.034817, 0.000305, 0.034848, 0.000063, 0.034735, -0.000134, 0.034592, -0.000295, 0.034369, -0.000393, 0.034119, -0.000396, 0.033891, -0.000275, 0.033708, -0.000016, 0.033641, 0.000433, 0.033877, 0.001176, 
0, 0,  98.0,  23.90,  0.063, 1.844, 22.74, 0.035470, 0.001330, 0.034816, 0.000304, 0.034848, 0.000063, 0.034733, -0.000134, 0.034591, -0.000294, 0.034372, -0.000393, 0.034120, -0.000396, 0.033894, -0.000272, 0.033703, -0.000012, 0.033624, 0.000447, 0.033914, 0.001186, 
0, 0,  98.0,  23.95,  0.063, 1.845, 22.74, 0.035469, 0.001334, 0.034816, 0.000304, 0.034845, 0.000063, 0.034730, -0.000133, 0.034587, -0.000294, 0.034368, -0.000392, 0.034127, -0.000394, 0.033897, -0.000260, 0.033693, -0.000016, 0.033610, 0.000428, 0.033883, 0.001144, 
0, 0,  98.0,  23.95,  0.063, 1.845, 22.72, 0.035468, 0.001336, 0.034816, 0.000304, 0.034846, 0.000063, 0.034732, -0.000133, 0.034591, -0.000293, 0.034375, -0.000397, 0.034121, -0.000392, 0.033891, -0.000264, 0.033675, -0.000029, 0.033629, 0.000392, 0.033902, 0.001172, 
0, 0,  98.0,  23.95,  0.063, 1.844, 22.73, 0.035471, 0.001329, 0.034815, 0.000306, 0.034848, 0.000064, 0.034734, -0.000131, 0.034593, -0.000294, 0.034369, -0.000390, 0.034123, -0.000399, 0.033893, -0.000280, 0.033704, -0.000033, 0.033613, 0.000412, 0.033890, 0.001153, 
0, 0,  98.0,  23.95,  0.063, 1.845, 22.72, 0.035469, 0.001331, 0.034815, 0.000305, 0.034846, 0.000064, 0.034732, -0.000132, 0.034590, -0.000293, 0.034373, -0.000397, 0.034121, -0.000394, 0.033894, -0.000283, 0.033708, -0.000025, 0.033635, 0.000431, 0.033872, 0.001200, 
0, 0,  98.0,  23.95,  0.063, 1.846, 22.72, 0.035468, 0.001334, 0.034815, 0.000305, 0.034845, 0.000065, 0.034731, -0.000132, 0.034590, -0.000293, 0.034373, -0.000393, 0.034129, -0.000396, 0.033900, -0.000269, 0.033705, -0.000018, 0.033624, 0.000436, 0.033911, 0.001181, 
