Type, Module, SOC(%), VDC[V], Avg-dV[V], Avg-dI[A], Temp[deg], R_1Hz, X_1Hz, R_2Hz, X_2Hz, R_4Hz, X_4Hz, R_8Hz, X_8Hz, R_16Hz, X_16Hz, R_31Hz, X_31Hz, R_62Hz, X_62Hz, R_125Hz, X_125Hz, R_250Hz, X_250Hz, R_500Hz, X_500Hz, R_1kHz, X_1kHz
0, 0,  98.0,  22.16,  0.058, 1.702, 23.79, 0.033568, 0.001546, 0.034188, 0.000518, 0.034291, 0.000227, 0.034304, 0.000020, 0.034258, -0.000068, 0.034178, -0.000135, 0.034036, -0.000173, 0.033882, -0.000080, 0.033740, 0.000183, 0.033727, 0.000719, 0.034067, 0.001729, 
0, 0,  98.0,  22.16,  0.058, 1.702, 23.78, 0.033963, 0.001528, 0.034284, 0.000356, 0.034350, 0.000151, 0.034292, 0.000034, 0.034257, -0.000067, 0.034172, -0.000137, 0.034054, -0.000163, 0.033858, -0.000070, 0.033743, 0.000198, 0.033726, 0.000760, 0.034066, 0.001720, 
0, 0,  98.0,  22.07,  0.058, 1.704, 23.80, 0.034938, 0.001357, 0.034308, 0.000354, 0.034360, 0.000159, 0.034297, 0.000028, 0.034259, -0.000069, 0.034177, -0.000149, 0.034045, -0.000166, 0.033881, -0.000071, 0.033733, 0.000208, 0.033710, 0.000715, 0.034061, 0.001663, 
0, 0,  98.0,  22.15,  0.058, 1.702, 23.82, 0.034938, 0.001361, 0.034310, 0.000353, 0.034361, 0.000161, 0.034298, 0.000028, 0.034261, -0.000069, 0.034173, -0.000150, 0.034049, -0.000172, 0.033881, -0.000068, 0.033714, 0.000196, 0.033714, 0.000711, 0.034089, 0.001630, 
0, 0,  98.0,  22.16,  0.058, 1.702, 23.81, 0.034940, 0.001354, 0.034309, 0.000355, 0.034360, 0.000160, 0.034297, 0.000027, 0.034260, -0.000068, 0.034177, -0.000150, 0.034042, -0.000177, 0.033878, -0.000084, 0.033746, 0.000190, 0.033724, 0.000730, 0.034042, 0.001662, 
0, 0,  98.0,  22.05,  0.058, 1.704, 23.77, 0.034940, 0.001357, 0.034310, 0.000354, 0.034362, 0.000161, 0.034297, 0.000029, 0.034257, -0.000069, 0.034174, -0.000150, 0.034039, -0.000183, 0.033890, -0.000090, 0.033735, 0.000192, 0.033707, 0.000724, 0.034065, 0.001650, 
0, 0,  98.0,  22.16,  0.058, 1.703, 23.79, 0.034940, 0.001360, 0.034312, 0.000354, 0.034362, 0.000160, 0.034301, 0.000027, 0.034262, -0.000068, 0.034180, -0.000151, 0.034044, -0.000173, 0.033885, -0.000078, 0.033724, 0.000183, 0.033703, 0.000708, 0.034047, 0.001602, 
0, 0,  98.0,  22.07,  0.058, 1.703, 23.80, 0.034944, 0.001352, 0.034311, 0.000354, 0.034363, 0.000160, 0.034301, 0.000028, 0.034264, -0.000069, 0.034176, -0.000151, 0.034044, -0.000182, 0.033884, -0.000090, 0.033734, 0.000174, 0.033691, 0.000716, 0.034029, 0.001656, 
0, 0,  98.0,  22.15,  0.058, 1.702, 23.80, 0.034941, 0.001362, 0.034316, 0.000353, 0.034366, 0.000161, 0.034303, 0.000027, 0.034262, -0.000070, 0.034184, -0.000153, 0.034053, -0.000172, 0.033879, -0.000081, 0.033728, 0.000195, 0.033713, 0.000697, 0.034053, 0.001627, 
0, 0,  98.0,  22.15,  0.058, 1.704, 23.80, 0.034944, 0.001356, 0.034314, 0.000353, 0.034365, 0.000160, 0.034302, 0.000028, 0.034264, -0.000070, 0.034181, -0.000152, 0.034055, -0.000182, 0.033888, -0.000077, 0.033732, 0.000193, 0.033704, 0.000686, 0.034036, 0.001603, 
