Type, Module, SOC(%), VDC[V], Avg-dV[V], Avg-dI[A], Temp[deg], R_1Hz, X_1Hz, R_2Hz, X_2Hz, R_4Hz, X_4Hz, R_8Hz, X_8Hz, R_16Hz, X_16Hz, R_31Hz, X_31Hz, R_62Hz, X_62Hz, R_125Hz, X_125Hz, R_250Hz, X_250Hz, R_500Hz, X_500Hz, R_1kHz, X_1kHz
0, 0,  98.0,  22.88,  0.064, 1.762, 24.27, 0.037321, 0.001395, 0.036634, 0.000311, 0.036665, 0.000086, 0.036562, -0.000095, 0.036451, -0.000250, 0.036261, -0.000375, 0.036018, -0.000391, 0.035752, -0.000284, 0.035552, -0.000069, 0.035448, 0.000388, 0.035667, 0.001146, 
0, 0,  98.0,  22.88,  0.064, 1.764, 24.26, 0.037324, 0.001389, 0.036631, 0.000312, 0.036662, 0.000085, 0.036560, -0.000096, 0.036452, -0.000249, 0.036263, -0.000374, 0.036010, -0.000396, 0.035767, -0.000289, 0.035547, -0.000058, 0.035435, 0.000345, 0.035638, 0.001089, 
0, 0,  98.0,  22.78,  0.064, 1.763, 24.27, 0.037323, 0.001394, 0.036634, 0.000312, 0.036664, 0.000084, 0.036562, -0.000096, 0.036455, -0.000251, 0.036259, -0.000375, 0.036016, -0.000403, 0.035765, -0.000282, 0.035541, -0.000059, 0.035465, 0.000357, 0.035668, 0.001133, 
0, 0,  98.0,  22.87,  0.064, 1.763, 24.26, 0.037325, 0.001387, 0.036632, 0.000313, 0.036663, 0.000084, 0.036561, -0.000095, 0.036454, -0.000250, 0.036262, -0.000372, 0.036008, -0.000404, 0.035767, -0.000297, 0.035569, -0.000051, 0.035461, 0.000382, 0.035669, 0.001110, 
0, 0,  98.0,  22.78,  0.064, 1.764, 24.24, 0.037325, 0.001390, 0.036631, 0.000313, 0.036664, 0.000085, 0.036561, -0.000095, 0.036452, -0.000249, 0.036261, -0.000374, 0.036008, -0.000403, 0.035769, -0.000298, 0.035550, -0.000054, 0.035442, 0.000363, 0.035640, 0.001131, 
0, 0,  98.0,  22.83,  0.064, 1.763, 24.24, 0.037325, 0.001393, 0.036634, 0.000312, 0.036665, 0.000085, 0.036563, -0.000095, 0.036455, -0.000250, 0.036263, -0.000374, 0.036014, -0.000398, 0.035769, -0.000287, 0.035542, -0.000052, 0.035455, 0.000355, 0.035671, 0.001151, 
0, 0,  98.0,  22.85,  0.064, 1.763, 24.29, 0.037328, 0.001386, 0.036634, 0.000314, 0.036667, 0.000084, 0.036565, -0.000094, 0.036458, -0.000251, 0.036262, -0.000371, 0.036016, -0.000406, 0.035772, -0.000298, 0.035573, -0.000054, 0.035464, 0.000378, 0.035642, 0.001112, 
0, 0,  98.0,  22.79,  0.064, 1.763, 24.24, 0.037328, 0.001388, 0.036634, 0.000312, 0.036665, 0.000084, 0.036563, -0.000095, 0.036455, -0.000250, 0.036262, -0.000376, 0.036015, -0.000397, 0.035770, -0.000298, 0.035564, -0.000048, 0.035446, 0.000358, 0.035658, 0.001085, 
0, 0,  98.0,  22.87,  0.064, 1.764, 24.27, 0.037327, 0.001391, 0.036635, 0.000312, 0.036666, 0.000085, 0.036564, -0.000094, 0.036456, -0.000249, 0.036266, -0.000375, 0.036012, -0.000403, 0.035771, -0.000293, 0.035550, -0.000058, 0.035452, 0.000326, 0.035659, 0.001113, 
0, 0,  98.0,  22.79,  0.064, 1.762, 24.30, 0.037330, 0.001385, 0.036634, 0.000314, 0.036667, 0.000083, 0.036565, -0.000095, 0.036456, -0.000252, 0.036259, -0.000372, 0.036009, -0.000406, 0.035769, -0.000300, 0.035570, -0.000061, 0.035477, 0.000362, 0.035643, 0.001134, 
0, 0,  98.0,  22.84,  0.064, 1.763, 24.31, 0.037329, 0.001387, 0.036636, 0.000313, 0.036668, 0.000084, 0.036566, -0.000094, 0.036457, -0.000252, 0.036262, -0.000374, 0.036014, -0.000408, 0.035773, -0.000296, 0.035570, -0.000052, 0.035461, 0.000373, 0.035673, 0.001109, 
